===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Bae-Env-Addr-Sql-Ip] https://play.picoctf.org/practice?Bae-Env-Addr-Sql-Ip=1
[2KFound: [Status=200] [Length=2466] [Word=Bae-Env-Addr-Sql-Port] https://play.picoctf.org/practice?Bae-Env-Addr-Sql-Port=1
[2KFound: [Status=200] [Length=2466] [Word=Bae-Env-Appid] https://play.picoctf.org/practice?Bae-Env-Appid=1
[2KFound: [Status=200] [Length=2466] [Word=Bae-Env-Sk] https://play.picoctf.org/practice?Bae-Env-Sk=1
[2KFound: [Status=200] [Length=2466] [Word=Bae-Logid] https://play.picoctf.org/practice?Bae-Logid=1
[2KFound: [Status=200] [Length=2466] [Word=Bae-Env-Ak] https://play.picoctf.org/practice?Bae-Env-Ak=1
[2KFound: [Status=200] [Length=2466] [Word=Bar] https://play.picoctf.org/practice?Bar=1
[2KFound: [Status=200] [Length=2466] [Word=Auth-User] https://play.picoctf.org/practice?Auth-User=1
[2KFound: [Status=200] [Length=2466] [Word=Base] https://play.picoctf.org/practice?Base=1
[2KFound: [Status=200] [Length=2466] [Word=Bearer-Indication] https://play.picoctf.org/practice?Bearer-Indication=1
[2KFound: [Status=200] [Length=2466] [Word=Base-Url] https://play.picoctf.org/practice?Base-Url=1
[2KFound: [Status=200] [Length=2466] [Word=Basic] https://play.picoctf.org/practice?Basic=1
[2KFound: [Status=200] [Length=2466] [Word=Body-Maxlength] https://play.picoctf.org/practice?Body-Maxlength=1
[2KFound: [Status=200] [Length=2466] [Word=Brief] https://play.picoctf.org/practice?Brief=1
[2KFound: [Status=200] [Length=2466] [Word=Body-Truncated] https://play.picoctf.org/practice?Body-Truncated=1
[2KFound: [Status=200] [Length=2466] [Word=Browser-User-Agent] https://play.picoctf.org/practice?Browser-User-Agent=1
[2KFound: [Status=200] [Length=2466] [Word=Cache-Control] https://play.picoctf.org/practice?Cache-Control=1
[2KFound: [Status=200] [Length=2466] [Word=Cache-Info] https://play.picoctf.org/practice?Cache-Info=1
[2KFound: [Status=200] [Length=2466] [Word=Case-Files] https://play.picoctf.org/practice?Case-Files=1
